STATION,PARM,RESULT,YEAR
17002601902,ASUT,0.5000,2005
17002601902,ASUT,0.5000,2005
17002601902,ASUT,0.5000,2005
17002602302,ASUT,6.5000,2005
17002602302,ASUT,8.5000,2005
17002602302,ASUT,14.0000,2005
06001700702,ASUT,1.0000,2005
06001700702,ASUT,1.5000,2005
06001700702,ASUT,1.0000,2005
06001700702,ASUT,0.5000,2005
06001700902,ASUT,1.0000,2005
06001700902,ASUT,1.5000,2005
06001700902,ASUT,1.5000,2005
06001700902,ASUT,1.0000,2005
17002600102,ASUT,9.0000,2005
17002600102,ASUT,8.0000,2005
17002600102,ASUT,7.0000,2005
17002600102,ASUT,4.0000,2005
17002600202,ASUT,8.0000,2005
17002600202,ASUT,10.0000,2005
17002600202,ASUT,7.5000,2005
17002600202,ASUT,3.5000,2005
17002600302,ASUT,7.0000,2005
17002600302,ASUT,11.0000,2005
17002600302,ASUT,8.5000,2005
17002600302,ASUT,7.0000,2005
17002600402,ASUT,7.0000,2005
17002600402,ASUT,8.0000,2005
17002600402,ASUT,8.5000,2005
17002600402,ASUT,7.0000,2005
17002600602,ASUT,7.5000,2005
17002600602,ASUT,8.5000,2005
17002600602,ASUT,6.0000,2005
17002600602,ASUT,6.0000,2005
17002600702,ASUT,2.5000,2005
17002600702,ASUT,2.0000,2005
17002600702,ASUT,2.0000,2005
17002600702,ASUT,0.5000,2005
17002600902,ASUT,1.0000,2005
17002600902,ASUT,0.5000,2005
17002600902,ASUT,0.5000,2005
17002600902,ASUT,0.5000,2005
17002601002,ASUT,2.0000,2005
17002601002,ASUT,1.0000,2005
17002601002,ASUT,0.5000,2005
17002601002,ASUT,0.5000,2005
17002601101,ASUT,50.0000,2005
17002601101,ASUT,90.0000,2005
17002601101,ASUT,110.0000,2005
17002601101,ASUT,37.0000,2005
17002601202,ASUT,3.0000,2005
17002601202,ASUT,3.0000,2005
17002601202,ASUT,3.0000,2005
17002601202,ASUT,1.0000,2005
17002601302,ASUT,82.0000,2005
17002601302,ASUT,190.0000,2005
17002601302,ASUT,150.0000,2005
17002601302,ASUT,87.0000,2005
17002601902,ASUT,2.0000,2005
17002601902,ASUT,1.5000,2005
17002601902,ASUT,2.5000,2005
17002601902,ASUT,1.0000,2005
17002602302,ASUT,27.0000,2005
17002602302,ASUT,28.0000,2005
17002602302,ASUT,33.0000,2005
17002602302,ASUT,29.0000,2005
17002600102,ASUT,2.5000,2005
17002600202,ASUT,3.0000,2005
17002600302,ASUT,4.5000,2005
17002600402,ASUT,4.5000,2005
17002600602,ASUT,4.0000,2005
17002600702,ASUT,0.5000,2005
17002600902,ASUT,0.5000,2005
17002601002,ASUT,0.5000,2005
17002601101,ASUT,22.0000,2005
17002601202,ASUT,0.5000,2005
17002601302,ASUT,140.0000,2005
17002601902,ASUT,0.5000,2005
17002602302,ASUT,25.0000,2005
06001700902,ASUT,1.5000,2006
06001700902,ASUT,1.0000,2006
17002600102,ASUT,4.5000,2006
17002600102,ASUT,5.5000,2006
17002600102,ASUT,6.5000,2006
17002600102,ASUT,6.5000,2006
17002600202,ASUT,4.5000,2006
17002600202,ASUT,4.5000,2006
17002600202,ASUT,7.5000,2006
17002600202,ASUT,5.0000,2006
17002600302,ASUT,4.5000,2006
17002600302,ASUT,5.5000,2006
17002600302,ASUT,7.5000,2006
17002600302,ASUT,9.0000,2006
17002600402,ASUT,4.5000,2006
17002600402,ASUT,5.5000,2006
17002600402,ASUT,7.0000,2006
17002600402,ASUT,9.0000,2006
17002600602,ASUT,8.0000,2006
17002600602,ASUT,8.0000,2006
17002600602,ASUT,7.0000,2006
17002600602,ASUT,2.0000,2006
17002600702,ASUT,1.0000,2006
17002600702,ASUT,1.5000,2006
17002600702,ASUT,1.5000,2006
17002600702,ASUT,1.5000,2006
17002600902,ASUT,0.5000,2006
17002600902,ASUT,0.5000,2006
17002600902,ASUT,0.5000,2006
17002600902,ASUT,0.5000,2006
17002601002,ASUT,1.0000,2006
17002601002,ASUT,1.0000,2006
17002601002,ASUT,1.0000,2006
17002601002,ASUT,0.5000,2006
17002601101,ASUT,31.0000,2006
17002601101,ASUT,46.0000,2006
17002601101,ASUT,72.0000,2006
17002601101,ASUT,89.0000,2006
17002601202,ASUT,1.5000,2006
17002601202,ASUT,2.0000,2006
17002601202,ASUT,1.0000,2006
17002601202,ASUT,1.5000,2006
17002601302,ASUT,96.0000,2006
17002601302,ASUT,66.0000,2006
17002601302,ASUT,130.0000,2006
17002601302,ASUT,160.0000,2006
17002601902,ASUT,1.5000,2006
17002601902,ASUT,0.5000,2006
17002601902,ASUT,0.5000,2006
17002601902,ASUT,1.5000,2006
17002602302,ASUT,19.0000,2006
17002602302,ASUT,21.0000,2006
17002602302,ASUT,25.0000,2006
17002602302,ASUT,24.0000,2006
06001700902,ASUT,1.5000,2006
17002600102,ASUT,4.0000,2006
17002600102,ASUT,6.0000,2006
17002600202,ASUT,4.0000,2006
17002600202,ASUT,6.0000,2006
17002600302,ASUT,5.5000,2006
17002600302,ASUT,8.5000,2006
17002600402,ASUT,6.5000,2006
17002600402,ASUT,9.0000,2006
17002600602,ASUT,3.5000,2006
17002600602,ASUT,12.0000,2006
17002600702,ASUT,0.5000,2006
17002600702,ASUT,0.5000,2006
17002600902,ASUT,0.5000,2006
17002600902,ASUT,0.5000,2006
17002601002,ASUT,0.5000,2006
17002601002,ASUT,0.5000,2006
17002601101,ASUT,67.0000,2006
17002601101,ASUT,15.0000,2006
17002601202,ASUT,0.5000,2006
17002601202,ASUT,0.5000,2006
17002601302,ASUT,6.5000,2006
17002601302,ASUT,14.0000,2006
17002601902,ASUT,0.5000,2006
17002601902,ASUT,1.0000,2006
17002602302,ASUT,36.0000,2006
17002602302,ASUT,29.0000,2006
06001700902,ASUT,1.5000,2007
06001700902,ASUT,0.5000,2007
06001700902,ASUT,1.0000,2007
06001700902,ASUT,1.0000,2007
06001700902,ASUT,1.0000,2007
17002600102,ASUT,1.5000,2007
17002600102,ASUT,2.0000,2007
17002600102,ASUT,3.5000,2007
17002600202,ASUT,1.5000,2007
17002600202,ASUT,2.5000,2007
17002600202,ASUT,4.5000,2007
17002600302,ASUT,2.5000,2007
